epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.65009,0.8518,3.23966,1.32655,0.00427,1,0.25821,0.18057,0.78436,3.31143,1.34448,0.0001,0.0001,0.0001
2,12.2443,0.6993,2.97374,1.22463,0.0078,1,0.2798,0.21984,0.69758,3.25288,1.27071,0.000208293,0.000208293,0.000208293
3,14.6763,0.80543,2.64862,1.31199,0.00671,1,0.3832,0.29706,0.72555,3.0969,1.28282,0.00031213,0.00031213,0.00031213
4,20.6504,0.81749,2.37194,1.38054,0.00448,1,0.3989,0.26603,0.97373,3.14185,1.6072,0.000411512,0.000411512,0.000411512
5,27.0874,0.7899,2.2807,1.26628,0.00425,1,0.34064,0.2292,0.94781,3.01421,1.57215,0.00050644,0.00050644,0.00050644
6,33.6466,0.70542,2.08894,1.26571,0.00403,1,0.39303,0.25493,0.93894,2.91329,1.70506,0.000596913,0.000596913,0.000596913
7,40.5993,0.79085,1.91151,1.22276,0.48438,0.249,0.38327,0.26464,1.17646,2.7771,1.94411,0.00068293,0.00068293,0.00068293
8,46.5888,0.76878,1.89063,1.20811,0.6766,0.13333,0.23131,0.15381,1.21157,2.91475,1.83244,0.000764493,0.000764493,0.000764493
9,52.8197,0.77425,1.74645,1.28372,0.63864,0.15213,0.1629,0.10161,1.2357,2.86348,1.88067,0.0008416,0.0008416,0.0008416
10,58.3986,0.72718,1.83736,1.22347,0.19838,0.34583,0.35703,0.21527,1.0409,2.58666,1.64172,0.000914253,0.000914253,0.000914253
11,61.0413,0.85807,1.82721,1.31225,0.68532,0.44784,0.63376,0.43373,0.97973,2.10352,1.62403,0.00098245,0.00098245,0.00098245
12,65.016,0.71783,1.63561,1.22991,0.43366,0.75417,0.61471,0.40883,1.04337,2.49463,1.79866,0.00097775,0.00097775,0.00097775
13,68.4561,0.75498,1.64243,1.25863,0.50806,0.78333,0.76185,0.46613,1.08435,3.29423,1.96045,0.000953,0.000953,0.000953
14,75.1142,0.81383,1.5718,1.24622,0.47376,0.78333,0.75323,0.55504,1.00348,2.09291,1.7944,0.00092825,0.00092825,0.00092825
15,81.3521,0.73173,1.48985,1.2261,0.70118,0.60833,0.7808,0.55392,1.0745,1.9291,1.84096,0.0009035,0.0009035,0.0009035
16,88.0237,0.83954,1.52171,1.28303,0.70674,0.64657,0.79086,0.51331,1.25077,1.99762,1.99437,0.00087875,0.00087875,0.00087875
17,94.6691,0.75091,1.51819,1.26982,0.60613,0.55629,0.76208,0.5423,1.21435,2.50085,1.94599,0.000854,0.000854,0.000854
